【該当数】,【リズム】,【該当文字一覧】,【連結リズム】
2,タンタンタンタンタタンタンタンタンタタンタン,"辱,唇",タンタンタンタンタタンタンタンタンタタンタ
2,タンタンタンタンタンタタンタンタンタンタタン,"託,値",タンタンタンタンタンタタンタンタンタンタタ
3,タタンタンタンタンタンタンタンタタンタンタン,"書,娠,展",タタンタンタンタンタンタンタンタタンタンタ
3.5,タンタタンタンタンタンタンタンタタンタンタン,"恩,振,捗 ",タンタタンタンタンタンタンタンタタンタンタ
3,タンタンタタンタンタンタンタンタタンタンタン,"斬,残,息",タンタンタタンタンタンタンタンタタンタンタ
3,タンタンタンタンタンタタンタンタンタタンタン,"格,悟,討",タンタンタンタンタンタタンタンタンタタンタ
3,タンタンタンタンタンタンタンタタタンタンタン,"粋,脊,病",タンタンタンタンタンタンタンタタタンタンタ
3,タンタンタンタンタンタンタンタタンタンタタン,"荷,起,匿",タンタンタンタンタンタンタンタタンタンタタ
4,タンタンタタンタンタンタンタンタンタタンタン,"害,酎,容,浴",タンタンタタンタンタンタンタンタンタタンタ
4,タンタンタンタタンタンタンタンタンタタンタン,"夏,畝,倉,唐",タンタンタンタタンタンタンタンタンタタンタ
4,タンタンタンタンタンタンタタンタンタンタタン,"悦,俺,剖,竜",タンタンタンタンタンタンタタンタンタンタタ
5,タンタタンタンタンタタンタンタンタンタンタン,"員,唄,捉,凍,峰",タンタタンタンタンタタンタンタンタンタンタ
5,タンタンタンタタンタンタンタンタタンタンタン,"個,衰,衷,恋,恣",タンタンタンタタンタンタンタンタタンタンタ
9,タンタンタンタンタンタンタンタンタンタンタン,"基,彩,菜,産,庶,爽,堆,麻,粒",タンタンタンタンタンタンタンタンタンタンタ
1,タタタタンタンタンタタンタタンタンタンタンタン,孫,タタタタンタンタンタタンタタンタンタンタンタ
1,タタタタンタンタンタタンタンタタンタンタンタン,陛,タタタタンタンタンタタンタンタタンタンタンタ
1,タタタタンタンタンタタンタンタンタタンタンタン,陥,タタタタンタンタンタタンタンタンタタンタンタ
1,タタタタンタンタンタンタタンタンタンタンタタン,院,タタタタンタンタンタンタタンタンタンタンタタ
1,タタタタンタンタンタンタンタンタンタンタンタン,陸,タタタタンタンタンタンタンタンタンタンタンタ
1,タタタンタンタタタンタンタンタタンタンタンタン,留,タタタンタンタタタンタンタンタタンタンタンタ
1,タタンタタンタンタタンタタンタンタンタタンタン,幽,タタンタタンタンタタンタタンタンタンタタンタ
1,タタンタタンタンタンタンタンタタタタンタンタン,級,タタンタタンタンタンタンタンタタタタンタンタ
1,タタンタタンタンタンタンタンタタタンタンタタン,紙,タタンタタンタンタンタンタンタタタンタンタタ
1,タタンタンタタンタンタタンタンタンタンタンタン,桑,タタンタンタタンタンタタンタンタンタンタンタ
1,タタンタンタンタンタタタンタンタンタタタタタン,逓,タタンタンタンタンタタタンタンタンタタタタタ
1,タタンタンタンタンタタンタンタンタタンタンタン,娘,タタンタンタンタンタタンタンタンタタンタンタ
1,タタンタンタンタンタンタタンタンタタタタンタン,郡,タタンタンタンタンタンタタンタンタタタタンタ
1,タタンタンタンタンタンタンタンタンタタタタタン,違,タタンタンタンタンタンタンタンタンタタタタタ
1,タタンタンタンタンタンタンタンタンタンタンタン,粛,タタンタンタンタンタンタンタンタンタンタンタ
1,タンタタンタンタタタンタタンタンタタンタンタン,怨,タンタタンタンタタタンタタンタンタタンタンタ
1,タンタタンタンタタンタタンタタンタンタタンタン,拶,タンタタンタンタタンタタンタタンタンタタンタ
1,タンタタンタンタタンタンタンタンタタンタンタン,凄,タンタタンタンタタンタンタンタンタタンタンタ
1,タンタタンタンタタンタンタンタンタンタタンタン,唆,タンタタンタンタタンタンタンタンタンタタンタ
1,タンタタンタンタンタタンタンタンタンタタンタン,捜,タンタタンタンタンタタンタンタンタンタタンタ
1,タンタタンタンタンタンタンタタンタンタタンタン,被,タンタタンタンタンタンタンタタンタンタタンタ
1,タンタンタタタンタンタンタンタタタンタンタタン,施,タンタンタタタンタンタンタンタタタンタンタタ
1,タンタンタタタンタンタンタンタンタンタタンタン,射,タンタンタタタンタンタンタンタンタンタタンタ
1,タンタンタタンタタタンタンタンタンタンタンタン,敏,タンタンタタンタタタンタンタンタンタンタンタ
1,タンタンタタンタタンタンタンタタンタンタンタン,畜,タンタンタタンタタンタンタンタタンタンタンタ
1,タンタンタタンタンタタンタンタンタンタタンタン,宮,タンタンタタンタンタタンタンタンタンタタンタ
1,タンタンタタンタンタンタタタンタンタンタンタン,浦,タンタンタタンタンタンタタタンタンタンタンタ
1,タンタンタタンタンタンタタンタンタンタンタタン,流,タンタンタタンタンタンタタンタンタンタンタタ
1,タンタンタタンタンタンタンタンタタンタタンタン,鬼,タンタンタタンタンタンタンタンタタンタタンタ
1,タンタンタタンタンタンタンタンタタンタンタタン,配,タンタンタタンタンタンタンタンタタンタンタタ
1,タンタンタタンタンタンタンタンタンタタタンタン,酌,タンタンタタンタンタンタンタンタンタタタンタ
1,タンタンタンタタンタタンタタンタンタンタンタン,索,タンタンタンタタンタタンタタンタンタンタンタ
1,タンタンタンタタンタンタンタタンタンタタンタン,破,タンタンタンタタンタンタンタタンタンタタンタ
1,タンタンタンタンタタタタンタンタンタンタンタン,教,タンタンタンタンタタタタンタンタンタンタンタ
1,タンタンタンタンタタタンタンタンタタンタンタン,恐,タンタンタンタンタタタンタンタンタタンタンタ
1,タンタンタンタンタタンタンタタンタンタンタタン,党,タンタンタンタンタタンタンタタンタンタンタタ
1,タンタンタンタンタタンタンタンタンタタタタタン,途,タンタンタンタンタタンタンタンタンタタタタタ
1,タンタンタンタンタンタタンタンタタンタンタタン,記,タンタンタンタンタンタタンタンタタンタンタタ
1,タンタンタンタンタンタタンタンタンタタタタタン,造,タンタンタンタンタンタタンタンタンタタタタタ
1,タンタンタンタンタンタンタタンタタタンタンタン,梅,タンタンタンタンタンタンタタンタタタンタンタ
1,タンタンタンタンタンタンタタンタンタタタンタン,帯,タンタンタンタンタンタンタタンタンタタタンタ
1,タンタンタンタンタンタンタンタタタンタタンタン,殺,タンタンタンタンタンタンタンタタタンタタンタ
1,タンタンタンタンタンタンタンタタンタタタンタン,瓶,タンタンタンタンタンタンタンタタンタタタンタ
1,タンタンタンタンタンタンタンタンタタタタンタン,郵,タンタンタンタンタンタンタンタンタタタタンタ
2,タタンタンタンタタンタンタンタンタンタンタタン,"既,剥",タタンタンタンタタンタンタンタンタンタンタタ
2,タンタタンタンタンタンタタタンタンタンタンタン,"捕,哺",タンタタンタンタンタンタタタンタンタンタンタ
2,タンタンタタンタンタタンタンタンタタンタンタン,"宴,浪",タンタンタタンタンタタンタンタンタタンタンタ
2,タンタンタタンタンタンタンタンタタタンタンタン,"宵,消",タンタンタタンタンタンタンタンタタタンタンタ
2,タンタンタタンタンタンタンタンタンタタタタタン,"速,連",タンタンタタンタンタンタンタンタンタタタタタ
2,タンタンタンタタンタンタンタンタンタンタンタン,"虚,惨",タンタンタンタタンタンタンタンタンタンタンタ
2,タンタンタンタンタンタンタンタンタンタンタタン,"術,剰",タンタンタンタンタンタンタンタンタンタンタタ
3,タンタンタンタンタンタンタンタンタンタタンタン,"粘,培,符",タンタンタンタンタンタンタンタンタンタタンタ
4,タンタンタンタンタンタンタタンタンタンタンタン,"梗,章,悼,梨",タンタンタンタンタンタンタタンタンタンタンタ
5,タンタンタタンタンタンタンタンタンタンタンタン,"淫,涯,済,渋,淡",タンタンタタンタンタンタンタンタンタンタンタ
5,タンタンタンタンタンタンタンタタンタンタンタン,"斎,釈,粗,笛,羞",タンタンタンタンタンタンタンタタンタンタンタ
5,タンタンタンタンタンタンタンタンタタンタンタン,"萎,械,惜,著,悠",タンタンタンタンタンタンタンタンタタンタンタ
6,タンタンタンタンタタンタンタンタンタンタンタン,"菓,菌,赦,斜,巣,惧",タンタンタンタンタタンタンタンタンタンタンタ
6,タンタンタンタンタンタタンタンタンタンタンタン,"黄,球,許,責,偵,理",タンタンタンタンタンタタンタンタンタンタンタ
11,タンタタンタンタンタンタンタンタンタンタンタン,"異,崖,掛,救,黒,採,推,唾,排,敗,唯",タンタタンタンタンタンタンタンタンタンタンタ
1,タタタタンタンタンタタンタンタンタンタンタンタン,隆,タタタタンタンタンタタンタンタンタンタンタンタ
1,タタタタンタンタンタンタタンタンタンタンタンタン,陳,タタタタンタンタンタンタタンタンタンタンタンタ
1,タタタタンタンタンタンタンタンタタンタンタンタン,険,タタタタンタンタンタンタンタンタタンタンタンタ
1,タタンタタンタンタンタンタンタンタタタンタンタン,納,タタンタタンタンタンタンタンタンタタタンタンタ
1,タタンタタンタンタンタンタンタンタタンタンタタン,純,タタンタタンタンタンタンタンタンタタンタンタタ
1,タタンタタンタンタンタンタンタンタンタンタンタン,紺,タタンタタンタンタンタンタンタンタンタンタンタ
1,タタンタンタンタンタタンタンタタタンタンタンタン,娯,タタンタンタンタンタタンタンタタタンタンタンタ
1,タンタタタンタンタンタンタタタンタタンタンタタン,胞,タンタタタンタンタンタンタタタンタタンタンタタ
1,タンタタタンタンタンタンタタンタンタタンタンタン,脂,タンタタタンタンタンタンタタンタンタタンタンタ
1,タンタタタンタンタンタンタンタタンタンタンタタン,剛,タンタタタンタンタンタンタンタタンタンタンタタ
1,タンタタンタンタタンタンタンタンタンタンタンタン,魚,タンタタンタンタタンタンタンタンタンタンタンタ
1,タンタタンタンタンタタンタンタンタタタンタンタン,朗,タンタタンタンタンタタンタンタンタタタンタンタ
1,タンタタンタンタンタタンタンタンタンタンタンタン,探,タンタタンタンタンタタンタンタンタンタンタンタ
1,タンタタンタンタンタンタタンタンタタタンタンタン,骨,タンタタンタンタンタンタタンタンタタタンタンタ
1,タンタタンタンタンタンタタンタンタタンタンタタン,眠,タンタタンタンタンタンタタンタンタタンタンタタ
1,タンタタンタンタンタンタンタンタンタンタンタタン,眺,タンタタンタンタンタンタンタンタンタンタンタタ
1,タンタンタタタンタンタンタンタンタンタンタタタン,航,タンタンタタタンタンタンタンタンタンタンタタタ
1,タンタンタタタンタンタンタンタンタンタンタンタン,族,タンタンタタタンタンタンタンタンタンタンタンタ
1,タンタンタタンタタンタンタンタンタタンタタンタン,浸,タンタンタタンタタンタンタンタンタタンタタンタ
1,タンタンタタンタタンタンタンタンタンタンタンタン,率,タンタンタタンタタンタンタンタンタンタンタンタ
1,タンタンタタンタンタタンタンタンタンタタタンタン,師,タンタンタタンタンタタンタンタンタンタタタンタ
1,タンタンタタンタンタタンタンタンタンタンタンタン,深,タンタンタタンタンタタンタンタンタンタンタンタ
1,タンタンタタンタンタンタタタンタンタタンタンタン,殉,タンタンタタンタンタンタタタンタンタタンタンタ
1,タンタンタタンタンタンタンタタタンタンタタンタン,島,タンタンタタンタンタンタンタタタンタンタタンタ
1,タンタンタタンタンタンタンタタンタンタタタンタン,帰,タンタンタタンタンタンタンタタンタンタタタンタ
1,タンタンタタンタンタンタンタタンタンタンタンタン,窒,タンタンタタンタンタンタンタタンタンタンタンタ
1,タンタンタタンタンタンタンタンタンタタタタンタン,健,タンタンタタンタンタンタンタンタンタタタタンタ
1,タンタンタタンタンタンタンタンタンタンタタンタン,転,タンタンタタンタンタンタンタンタンタンタタンタ
1,タンタンタンタタンタンタンタタタンタンタタンタン,高,タンタンタンタタンタンタンタタタンタンタタンタ
1,タンタンタンタタンタンタンタタンタンタンタタタン,飢,タンタンタンタタンタンタンタタンタンタンタタタ
1,タンタンタンタタンタンタンタタンタンタンタンタン,康,タンタンタンタタンタンタンタタンタンタンタンタ
1,タンタンタンタタンタンタンタンタンタンタンタタン,側,タンタンタンタタンタンタンタンタンタンタンタタ
1,タンタンタンタンタタンタンタンタンタンタタンタン,得,タンタンタンタンタタンタンタンタンタンタタンタ
1,タンタンタンタンタンタタンタンタンタタタタンタン,都,タンタンタンタンタンタタンタンタンタタタタンタ
1,タンタンタンタンタンタタンタンタンタンタタンタン,訟,タンタンタンタンタンタタンタンタンタンタタンタ
1,タンタンタンタンタンタンタタンタンタタタタンタン,部,タンタンタンタンタンタンタタンタンタタタタンタ
1,タンタンタンタンタンタンタタンタンタンタタンタン,移,タンタンタンタンタンタンタタンタンタンタタンタ
1,タンタンタンタンタンタンタンタンタタタンタンタン,情,タンタンタンタンタンタンタンタンタタタンタンタ
1,タンタンタンタンタンタンタンタンタタンタンタタン,埼,タンタンタンタンタンタンタンタンタタンタンタタ
1,タンタンタンタンタンタンタンタンタンタタタタタン,進,タンタンタンタンタンタンタンタンタンタタタタタ
2,タタタタンタンタンタンタンタンタンタンタタンタン,"陪,陵",タタタタンタンタンタンタンタンタンタンタタンタ
2,タタンタタンタンタンタンタンタンタンタタタンタン,"紛,紡",タタンタタンタンタンタンタンタンタンタタタンタ
2,タンタタンタンタンタンタンタンタタンタンタンタン,"猫,描",タンタタンタンタンタンタンタンタタンタンタンタ
2,タンタタンタンタンタンタンタンタンタタンタンタン,"接,措",タンタタンタンタンタンタンタンタンタタンタンタ
2,タンタンタタンタンタンタンタンタタンタンタンタン,"渉,添",タンタンタタンタンタンタンタンタタンタンタンタ
2,タンタンタンタタンタンタタンタンタンタンタンタン,"貨,貪",タンタンタンタタンタンタタンタンタンタンタンタ
2,タンタンタンタタンタンタンタンタタンタンタンタン,"循,盗",タンタンタンタタンタンタンタンタタンタンタンタ
2,タンタンタンタタンタンタンタンタンタタンタンタン,"曽,袋",タンタンタンタタンタンタンタンタンタタンタンタ
2,タンタンタンタンタタタンタンタンタンタンタンタン,"菊,望",タンタンタンタンタタタンタンタンタンタンタンタ
2,タンタンタンタンタタンタンタタンタンタンタンタン,"蛍,堂",タンタンタンタンタタンタンタタンタンタンタンタ
2,タンタンタンタンタンタタンタンタタンタンタンタン,"訴,訳",タンタンタンタンタンタタンタンタタンタンタンタ
2,タンタンタンタンタンタタンタンタンタンタンタタン,"規,現",タンタンタンタンタンタタンタンタンタンタンタタ
2,タンタンタンタンタンタンタンタンタンタタタンタン,"執,釣",タンタンタンタンタンタンタンタンタンタタタンタ
3,タンタタンタンタンタンタタンタンタンタンタンタン,"控,頃,頂",タンタタンタンタンタンタタンタンタンタンタンタ
3,タンタタンタンタンタンタンタンタンタンタタンタン,"啓,捨,販",タンタタンタンタンタンタンタンタンタンタタンタ
4,タンタンタンタンタンタタンタンタンタタンタンタン,"域,痕,戚,欲",タンタンタンタンタンタタンタンタンタタンタンタ
8,タンタンタタンタンタンタンタンタンタタンタンタン,"悪,液,恵,宿,雪,曹,軟,票",タンタンタタンタンタンタンタンタンタタンタンタ
12,タンタンタンタンタンタンタンタンタンタンタンタン,"敢,棋,傘,集,焦,粧,森,椎,斑,米,棒,無",タンタンタンタンタンタンタンタンタンタンタンタ
1,タタタタンタンタンタンタタンタンタタンタンタンタン,阜,タタタタンタンタンタンタタンタンタタンタンタンタ
1,タタタタンタンタンタンタンタタンタンタンタタンタン,陰,タタタタンタンタンタンタンタタンタンタンタタンタ
1,タタタタンタンタンタンタンタンタタンタンタンタタン,隊,タタタタンタンタンタンタンタンタタンタンタンタタ
1,タタタンタンタンタンタンタンタタンタンタンタンタン,疎,タタタンタンタンタンタンタンタタンタンタンタンタ
1,タタンタタンタンタンタンタンタタンタンタンタンタン,経,タタンタタンタンタンタンタンタタンタンタンタンタ
1,タタンタンタンタタタンタンタタンタンタタンタンタン,婚,タタンタンタンタタタンタンタタンタンタタンタンタ
1,タタンタンタンタタタンタンタンタンタタンタンタタン,能,タタンタンタンタタタンタンタンタンタタンタンタタ
1,タタンタンタンタタタンタンタンタンタンタタタタタン,通,タタンタンタンタタタンタンタンタンタンタタタタタ
1,タタンタンタンタンタンタタンタンタンタンタタンタン,尉,タタンタンタンタンタンタタンタンタンタンタタンタ
1,タタンタンタンタンタンタンタンタンタンタンタンタン,媒,タタンタンタンタンタンタンタンタンタンタンタンタ
1,タンタタタンタンタンタンタンタタンタンタンタンタン,彫,タンタタタンタンタンタンタンタタンタンタンタンタ
1,タンタタタンタンタンタンタンタンタンタタンタンタン,帳,タンタタタンタンタンタンタンタンタンタタンタンタ
1,タンタタタンタンタンタンタンタンタンタンタタンタン,脳,タンタタタンタンタンタンタンタンタンタンタタンタ
1,タンタタンタンタタタタンタンタンタタンタンタンタン,猛,タンタタンタンタタタタンタンタンタタンタンタンタ
1,タンタタンタンタタンタンタンタンタタンタタタンタン,勉,タンタタンタンタタンタンタンタンタタンタタタンタ
1,タンタタンタンタタンタンタンタンタンタンタタンタン,据,タンタタンタンタタンタンタンタンタンタンタタンタ
1,タンタタンタンタンタタタンタンタンタタタンタンタン,扇,タンタタンタンタンタタタンタンタンタタタンタンタ
1,タンタタンタンタンタンタタンタタンタンタンタンタン,累,タンタタンタンタンタンタタンタタンタンタンタンタ
1,タンタタンタンタンタンタタンタンタンタンタンタタン,視,タンタタンタンタンタンタタンタンタンタンタンタタ
1,タンタタンタンタンタンタンタタンタンタタンタンタン,捻,タンタタンタンタンタンタンタタンタンタタンタンタ
1,タンタタンタンタンタンタンタタンタンタンタタンタン,略,タンタタンタンタンタンタンタタンタンタンタタンタ
1,タンタタンタンタンタンタンタンタタタンタンタンタン,猟,タンタタンタンタンタンタンタンタタタンタンタンタ
1,タンタタンタンタンタンタンタンタンタタンタタンタン,授,タンタタンタンタンタンタンタンタンタタンタタンタ
1,タンタンタタタンタンタンタタンタンタンタンタンタン,貧,タンタンタタタンタンタンタタンタンタンタンタンタ
1,タンタンタタタンタンタンタンタタンタンタンタンタン,旋,タンタンタタタンタンタンタンタタンタンタンタンタ
1,タンタンタタタンタンタンタンタンタタタンタタンタン,般,タンタンタタタンタンタンタンタンタタタンタタンタ
1,タンタンタタタンタンタンタンタンタンタタンタンタン,舶,タンタンタタタンタンタンタンタンタンタタンタンタ
1,タンタンタタタンタンタンタンタンタンタンタタンタン,船,タンタンタタタンタンタンタンタンタンタンタタンタ
1,タンタンタタンタンタタタンタンタンタタタンタンタン,翁,タンタンタタンタンタタタンタンタンタタタンタンタ
1,タンタンタタンタンタンタタンタンタンタタンタンタン,窓,タンタンタタンタンタンタタンタンタンタタンタンタ
1,タンタンタタンタンタンタタンタンタンタンタタンタン,密,タンタンタタンタンタンタタンタンタンタンタタンタ
1,タンタンタタンタンタンタタンタンタンタンタンタタン,副,タンタンタタンタンタンタタンタンタンタンタンタタ
1,タンタンタタンタンタンタンタタタンタンタンタンタン,鳥,タンタンタタンタンタンタンタタタンタンタンタンタ
1,タンタンタタンタンタンタンタタンタンタタンタンタン,涼,タンタンタタンタンタンタンタタンタンタタンタンタ
1,タンタンタタンタンタンタンタンタンタタンタンタタン,寄,タンタンタタンタンタンタンタンタンタタンタンタタ
1,タンタンタンタタンタンタタタタンタンタタタタンタン,郭,タンタンタンタタンタンタタタタンタンタタタタンタ
1,タンタンタンタタンタンタンタタタンタタンタンタタン,砲,タンタンタンタタンタンタンタタタンタタンタンタタ
1,タンタンタンタタンタンタンタンタタンタンタタンタン,堀,タンタンタンタタンタンタンタンタタンタンタタンタ
1,タンタンタンタタンタンタンタンタタンタンタンタタン,豪,タンタンタンタタンタンタンタンタタンタンタンタタ
1,タンタンタンタタンタンタンタンタンタタンタンタタン,鹿,タンタンタンタタンタンタンタンタンタタンタンタタ
1,タンタンタンタタンタンタンタンタンタンタタタンタン,動,タンタンタンタタンタンタンタンタンタンタタタンタ
1,タンタンタンたタンタンタンタンタンタンタンタタタン,乾,タンタンタンたタンタンタンタンタンタンタンタタタ
1,タンタンタンタタンタンタンタンタンタンタンタンタン,塀,タンタンタンタタンタンタンタンタンタンタンタンタ
1,タンタンタンタンタタンタンタタンタンタタンタンタン,婆,タンタンタンタンタタンタンタタンタンタタンタンタ
1,タンタンタンタンタタンタンタンタタンタンタンタタン,塚,タンタンタンタンタタンタンタンタタンタンタンタタ
1,タンタンタンタンタタンタンタンタンタンタンタンタン,堤,タンタンタンタンタタンタンタンタンタンタンタンタ
1,タンタンタンタンタンタタタンタンタンタンタタンタン,商,タンタンタンタンタンタタタンタンタンタンタタンタ
1,タンタンタンタンタンタタンタンタンタンタタタンタン,訪,タンタンタンタンタンタタンタンタンタンタタタンタ
1,タンタンタンタンタンタンタンタンタタンタタタンタン,勘,タンタンタンタンタンタンタンタンタタンタタタンタ
2,タンタタタンタンタンタンタタタンタンタンタタンタン,"胸,胴",タンタタタンタンタンタンタタタンタンタンタタンタ
2,タンタタンタンタンタンタタンタンタンタタンタンタン,"眼,崇",タンタタンタンタンタンタタンタンタンタタンタンタ
2,タンタタンタンタンタンタンタンタンタタンタンタタン,"崎,蛇",タンタタンタンタンタンタンタンタンタタンタンタタ
2,タンタンタタンタンタンタンタタンタンタンタタンタン,"寂,淑",タンタンタタンタンタンタンタタンタンタンタタンタ
2,タンタンタタンタンタンタンタンタンタタタンタンタン,"酔,清",タンタンタタンタンタンタンタンタンタタタンタンタ
2,タンタンタンタンタンタタンタンタンタタンタンタタン,"停,諧",タンタンタンタンタンタタンタンタンタタンタンタタ
3,タンタンタンタンタンタンタンタンタタンタンタンタン,"検,番,着",タンタンタンタンタンタンタンタンタタンタンタンタ
3,タンタンタンタタンタンタンタンタタタンタンタンタン,"偶,偏,庸",タンタンタンタタンタンタンタンタタタンタンタンタ
3,タンタンタンタンタンタンタンタタンタンタンタンタン,"短,痘,葉",タンタンタンタンタンタンタンタタンタンタンタンタ
4,タタンタタンタンタンタンタンタンタタンタンタンタン,"細,終,紳,組",タタンタタンタンタンタンタンタンタタンタンタンタ
4,タンタタンタンタンタタンタンタンタンタタンタンタン,"患,祭,唱,裂",タンタタンタンタンタタンタンタンタンタタンタンタ
4,タンタタンタンタンタンタンタンタンタンタンタンタン,"雇,然,扉,塁",タンタタンタンタンタンタンタンタンタンタンタンタ
5,タンタンタタンタンタンタンタンタンタンタンタンタン,"奥,寒,衆,酢,雄",タンタンタタンタンタンタンタンタンタンタンタンタ
5,タンタンタンタンタンタタンタンタンタンタンタンタン,"詐,煮,証,診,評",タンタンタンタンタンタタンタンタンタンタンタンタ
5,タンタンタンタンタンタンタンタンタンタタンタンタン,"欺,新,装,替,悲",タンタンタンタンタンタンタンタンタンタタンタンタ
5,タンタンタンタンタンタンタンタンタンタンタタンタン,"歯,善,塔,等,答",タンタンタンタンタンタンタンタンタンタンタタンタ
6,タンタンタンタンタンタンタンタンタンタンタンタタン,"街,堪,琴,慌,焼,痢",タンタンタンタンタンタンタンタンタンタンタンタタ
8,タンタンタンタンタンタンタタンタンタンタンタンタン,"薫,項,順,須,程,棟,童,筆",タンタンタンタンタンタンタタンタンタンタンタンタ
1,タタタタンタンタンタタタンタンタンタンタンタタンタン,陶,タタタタンタンタンタタタンタンタンタンタンタタンタ
1,タタタンタンタンタタタンタンタンタンタンタンタンタン,翌,タタタンタンタンタタタンタンタンタンタンタンタンタ
1,タタンタタンタンタンタンタンタンタンタンタンタンタン,絞,タタンタタンタンタンタンタンタンタンタンタンタンタ
1,タタンタンタンタタンタンタンタンタンタンタタタタタン,逮,タタンタンタンタタンタンタンタンタンタンタタタタタ
1,タタンタンタンタンタンタンタンタタンタンタンタンタン,登,タタンタンタンタンタンタンタンタタンタンタンタンタ
1,タタンタンタンタンタンタンタンタンタンタンタタンタン,媛,タタンタンタンタンタンタンタンタンタンタンタタンタ
1,タンタタタンタンタンタンタンタンタタンタンタンタタン,脱,タンタタタンタンタンタンタンタンタタンタンタンタタ
1,タンタタンタンタタンタンタンタンタタンタンタタンタン,掘,タンタタンタンタタンタンタンタンタタンタンタタンタ
1,タンタタンタンタンタタンタンタンタンタンタンタンタン,提,タンタタンタンタンタタンタンタンタンタンタンタンタ
1,タンタタンタンタンタンタンタンタタンタンタタンタタン,野,タンタタンタンタンタンタンタンタタンタンタタンタタ
1,タンタタンタンタンタンタンタンタタンタンタンタンタン,猶,タンタタンタンタンタンタンタンタタンタンタンタンタ
1,タンタタンタンタンタンタンタンタンタンタンタンタタン,暁,タンタタンタンタンタンタンタンタンタンタンタンタタ
1,タンタンタタタンタタンタンタンタンタタンタンタンタン,盛,タンタンタタタンタタンタンタンタンタタンタンタンタ
1,タンタンタタタンタンタンタンタンタンタタンタタンタン,舷,タンタンタタタンタンタンタンタンタンタタンタタンタ
1,タンタンタタタンタンタンタンタンタンタンタンタンタン,旗,タンタンタタタンタンタンタンタンタンタンタンタンタ
1,タンタンタタンタタンタンタンタンタタンタンタタンタン,窟,タンタンタタンタタンタンタンタンタタンタンタタンタ
1,タンタンタタンタンタタンタンタンタンタタタンタンタン,湯,タンタンタタンタンタタンタンタンタンタタタンタンタ
1,タンタンタタンタンタタンタンタンタンタタンタンタタン,混,タンタンタタンタンタタンタンタンタンタタンタンタタ
1,タンタンタタンタンタタンタンタンタンタンタンタンタン,湿,タンタンタタンタンタタンタンタンタンタンタンタンタ
1,タンタンタタンタンタンタンタンタタンタンタンタンタン,軽,タンタンタタンタンタンタンタンタタンタンタンタンタ
1,タンタンタタンタンタンタンタンタンタタンタンタンタン,軸,タンタンタタンタンタンタンタンタンタタンタンタンタ
1,タンタンタンタタンタンタンタンタンタンタンタンタタン,廃,タンタンタンタタンタンタンタンタンタンタンタンタタ
1,タンタンタンタンタタンタタンタタタンタンタンタンタン,偽,タンタンタンタンタタンタタンタタタンタンタンタンタ
1,タンタンタンタンタタンタンタタンタンタンタタタンタン,常,タンタンタンタンタタンタンタタンタンタンタタタンタ
1,タンタンタンタンタタンタンタンタタンタンタタタタタン,遂,タンタンタンタンタタンタンタンタタンタンタタタタタ
1,タンタンタンタンタタンタンタンタンタンタタンタンタン,博,タンタンタンタンタタンタンタンタンタンタタンタンタ
1,タンタンタンタンタンタタタタタンタンタンタタタタタン,透,タンタンタンタンタンタタタタタンタンタンタタタタタ
1,タンタンタンタンタンタタタンタンタタンタンタタンタン,極,タンタンタンタンタンタタタンタンタタンタンタタンタ
1,タンタンタンタンタンタタタンタンタンタンタンタンタン,散,タンタンタンタンタンタタタンタンタンタンタンタンタ
1,タンタンタンタンタンタタンタンタンタタタンタタンタン,設,タンタンタンタンタンタタンタンタンタタタンタタンタ
1,タンタンタンタンタンタタンタンタンタタンタンタンタン,葬,タンタンタンタンタンタタンタンタンタタンタンタンタ
1,タンタンタンタンタンタタンタンタンタンタタンタンタン,款,タンタンタンタンタンタタンタンタンタンタタンタンタ
1,タンタンタンタンタンタンタタンタンタタタタンタンタン,第,タンタンタンタンタンタンタタンタンタタタタンタンタ
1,タンタンタンタンタンタンタタンタンタンタタンタンタン,裁,タンタンタンタンタンタンタタンタンタンタタンタンタ
1,タンタンタンタンタンタンタンタタンタンタタンタンタン,越,タンタンタンタンタンタンタンタタンタンタタンタンタ
1,タンタンタンタンタンタンタンタタンタンタンタンタタン,植,タンタンタンタンタンタンタンタタンタンタンタンタタ
1,タンタンタンタンタンタンタンタンタタンタンタンタタン,税,タンタンタンタンタンタンタンタンタタンタンタンタタ
1,タンタンタンタンタンタンタンタンタンタンタタタタタン,達,タンタンタンタンタンタンタンタンタンタンタタタタタ
1,タンタンタンタンタンタンタンタンタンタンタタタンタン,御,タンタンタンタンタンタンタンタンタンタンタタタンタ
2,タンタタンタンタタンタンタンタンタタンタンタンタタン,"亀,象",タンタタンタンタタンタンタンタンタタンタンタンタタ
2,タンタタンタンタンタンタタタンタンタンタンタタンタン,"閉,問",タンタタンタンタンタンタタタンタンタンタンタタンタ
2,タンタタンタンタンタンタタンタンタンタンタンタンタン,"喉,搾",タンタタンタンタンタンタタンタンタンタンタンタンタ
2,タンタタンタンタンタンタンタンタンタンタタンタンタン,"距,暑",タンタタンタンタンタンタンタンタンタンタタンタンタ
2,タンタンタタンタンタンタンタンタンタンタンタタンタン,"雲,渡",タンタンタタンタンタンタンタンタンタンタンタタンタ
2,タンタンタンタタンタンタンタタンタンタンタンタンタン,"偉,貸",タンタンタンタタンタンタンタタンタンタンタンタンタ
